model,MAE_kW,RMSE_kW,pinball_q80_kW,underforecast_rate,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_energy_kwh,surplus_energy_kwh,selection_cost_Feb_Aug_yuan,holdout_cost_Sep_Dec_yuan
scenario_recent_12,325.48393514862636,483.69423998336606,166.37025514474524,0.5069860279441117,13789985.706853088,1362538.6383552665,15152524.345208354,363998.13276666665,3663529.446601109,9467958.362523742,5684565.982684613
scenario_recent_20,327.67309492223876,484.87707544770103,166.16658059772135,0.501559381237525,13777489.20204824,1392566.8614562077,15170056.063504448,374939.23567680037,3642245.0683000945,9480742.508944616,5689313.554559832
scenario_knn_12,321.94409481800284,474.53423797945925,166.70498778876276,0.5153443113772455,13640164.2469584,1568851.9087180695,15209016.15567647,415339.26257202466,3510932.2544569112,9500719.636678226,5708296.518998243
scenario_reduced_12,331.04183347060376,488.4950994467081,170.33899499771073,0.5030148037258816,13596211.010841344,1727164.0815276173,15323375.09236896,452881.4833915062,3478162.070676148,9601832.53854929,5721542.5538196685
cost_aware_q80,420.77384959123424,605.7025184095313,118.98258171041253,0.218937125748503,13668952.350533534,1674909.25619104,15343861.606724573,431723.9314866666,3523018.7052458846,9644039.965404358,5699821.641320214
scenario_recent_6,350.8408047280439,519.8171871330205,179.13089165107277,0.5048444777112442,13691108.514455322,1897752.9104095341,15588861.424864857,511833.6552156275,3668630.895344317,9780787.59571559,5808073.829149266
seasonal_naive_7d,327.7708114624917,486.4685254107146,164.71462496964406,0.4924110113107119,12229017.549620714,4708144.804647751,16937162.354268465,1205793.9714502057,2173805.3237123457,10476841.349187471,6460321.005080995
weekday_mean_4w,370.00539352648866,520.5253615364898,185.642062547925,0.49037341982701266,12199179.89830176,5437955.965855641,17637135.8641574,1376708.724003755,2327588.7808291665,10477456.943593903,7159678.920563498
ridge_expanding,331.63732732577955,457.0464421258706,171.59106766375248,0.4929100133067199,12189007.846880294,5013110.808932007,17202118.6558123,1297238.794657796,2149257.861021997,10964703.485414205,6237415.170398096
recent_median_7d,702.8636887412675,1113.056061253663,227.41787321606787,0.47265884896872923,13974526.730711643,4513285.537149167,18487812.267860807,1156592.4227,4478265.069933333,11500014.066259827,6987798.20160098
