,00:00 plan only,selected updates (06:00 + 12:00)
2025-02,1303306.2046111824,1295288.3841581831
2025-03,1237929.3573840912,1209466.0919406302
2025-04,1070909.90609411,1023131.4082126846
2025-05,1098793.905700655,1078964.639469399
2025-06,1452963.5795283844,1470475.720640425
2025-07,1690600.0273365048,1646789.6250582202
2025-08,1415854.2317491954,1389601.6080594715
2025-09,1285215.6704435167,1255284.829938582
2025-10,1252550.51215119,1222495.2161851404
2025-11,1349414.381812854,1331401.830873192
2025-12,1778442.9793129,1746697.9083356524
