,2025-03-20,2025-06-21,2025-09-23,2025-12-21
10:00-10:10,0.0,0.0,0.0,0.0
12:00-12:10,596.8592056666664,0.0,421.3019821111111,1050.2895949999997
14:00-14:10,0.0,0.0,0.0,0.0
16:00-16:10,635.5953900000001,176.93079255555585,501.16727000000014,848.5457914444447
18:00-18:10,745.1318,490.33756933333376,806.2919780000001,744.5348526666666
20:00-20:10,0.0,0.0,0.0,0.0
daily planned purchase (kWh),71875.20525803704,38521.376205388886,71384.50960498766,100295.32901856309
daily planned cost (yuan),43888.49723104853,22432.330711400726,44199.31692637765,64401.18500631525
daily final purchase (kWh),66400.21706659638,38780.34944610994,66865.62410582813,96870.88735251833
daily adjustment cost (yuan),-1218.4635288426252,162.83012564615092,-1360.4451238330444,-1295.3926775050452
daily emergency purchase (kWh),1994.8970670800095,85.75829292954879,1633.8601201699335,1102.6278669429162
daily total cost (yuan),50177.43587975369,22936.47223991297,49883.98809993452,66838.41070748404
