q00,q06,q12,q18,updates,total_cost,plan_cost,adjustment_cost,emergency_cost,plan_kwh,final_kwh,upward_kwh,downward_kwh,emergency_kwh,spill_kwh,delta_vs_v000
0.75,0.85,0.85,0.8,06:00 + 12:00 + 18:00,14438642.683144227,13301863.247348014,362935.0919755037,773844.343820708,21792791.769315634,21627471.563139588,581105.3724950354,746425.5786710834,219388.89526462398,2599335.0949888052,-230954.57972735353
0.8,0.85,0.85,0.8,06:00 + 12:00 + 18:00,14443632.770644326,13552570.33119702,150268.29385505654,740794.1455922509,22166054.834668174,21694871.596334174,444532.10384462506,915715.3421786275,203870.02964450506,2651344.7889287053,-225964.49222725444
0.75,0.85,0.9,0.8,06:00 + 12:00 + 18:00,14446251.130476581,13301863.247348014,435416.651390061,708971.2317385052,21792791.769315634,21724882.314047553,632525.9587468643,700435.4140149427,203617.17459316237,2678288.778573451,-223346.13239499927
0.8,0.85,0.85,0.85,06:00 + 12:00 + 18:00,14447383.180870706,13552570.33119702,209693.0708743763,685119.77879931,22166054.834668174,21760142.816097617,477866.3181017861,883778.3366723475,191632.45902453482,2704374.814885021,-222214.08200087398
0.8,0.9,0.85,0.8,06:00 + 12:00 + 18:00,14447456.065500747,13552570.33119702,209718.07693940378,685167.6573643244,22166054.834668174,21785666.976760257,489483.6266003651,869871.4845082865,190148.14087044646,2725056.349853758,-222141.1973708328
0.8,0.85,0.9,0.8,06:00 + 12:00 + 18:00,14447753.201547943,13552570.33119702,218597.89209484335,676584.9782560812,22166054.834668174,21791760.95047543,490767.5720369848,865061.4562297312,188306.2476474794,2730213.032679607,-221844.06132363714
0.75,0.9,0.85,0.8,06:00 + 12:00 + 18:00,14448518.994276032,13301863.247348014,427474.0187225458,719181.728205473,21792791.769315634,21719570.12105908,632679.3298303073,705900.9780868606,205651.59652941095,2674651.624545767,-221078.26859554835
0.75,0.85,0.85,0.75,06:00 + 12:00 + 18:00,14448779.34336675,13301863.247348014,311253.6670656465,835662.4289530893,21792791.769315634,21573175.09450935,550979.669022118,770596.3438284046,232761.4313601,2558404.3476506853,-220817.9195048306
0.75,0.8,0.85,0.8,06:00 + 12:00 + 18:00,14448784.883576587,13301863.247348014,316113.4687607885,830808.1674677839,21792791.769315634,21556846.68581035,545560.2526902985,781505.3361955814,233183.2017249596,2545111.170335185,-220812.37929499336
0.75,0.85,0.85,0.85,06:00 + 12:00 + 18:00,14450563.920269176,13301863.247348014,430530.6958933964,718169.9770277671,21792791.769315634,21692734.69773662,623918.6424204772,723975.7139994926,207151.32464465377,2652365.120945122,-219033.34260240383
0.8,0.9,0.85,0.85,06:00 + 12:00 + 18:00,14451206.475727128,13552570.33119702,269142.85395872354,629493.2905713834,22166054.834668174,21850938.196523696,522817.84085752605,837934.4790020065,177910.5702504762,2778086.3758100746,-218390.78714445233
0.8,0.85,0.9,0.85,06:00 + 12:00 + 18:00,14451503.611774324,13552570.33119702,278022.669114163,620910.6114631402,22166054.834668174,21857032.17023887,524101.7862941458,833124.4507234512,176068.6770275092,2783243.0586359235,-218093.6510972567
0.75,0.85,0.8,0.8,06:00 + 12:00 + 18:00,14451527.351359453,13301863.247348014,306754.5516082413,842909.5524031976,21792791.769315634,21547855.01474449,542547.3301396994,787484.0847108414,236318.28376668593,2538570.2730556186,-218069.91151212715
0.8,0.9,0.9,0.8,06:00 + 12:00 + 18:00,14451576.496404365,13552570.33119702,278047.6751791906,620958.4900281548,22166054.834668174,21882556.33090151,535719.0947927248,819217.5985593903,174584.3588734208,2803924.59360466,-218020.7664672155
0.8,0.9,0.9,0.85,06:00 + 12:00 + 18:00,14455326.906630745,13552570.33119702,337472.4521985103,565284.1232352138,22166054.834668174,21947827.550664954,569053.3090498857,787280.5930531104,162346.7882534506,2856954.6195609765,-214270.35624083504
0.75,0.9,0.9,0.8,06:00 + 12:00 + 18:00,14456127.441608388,13301863.247348014,499955.578137103,654308.6161232702,21792791.769315634,21816980.87196705,684099.9160821363,659910.81343072,189879.8758579493,2753605.3081304124,-213469.82126319222
0.75,0.85,0.9,0.75,06:00 + 12:00 + 18:00,14456387.790699104,13301863.247348014,383735.2264802036,770789.3168708866,21792791.769315634,21670585.845417317,602400.255273947,724606.1791722641,216989.71068863833,2637358.031235331,-213209.47217247635
0.75,0.8,0.9,0.8,06:00 + 12:00 + 18:00,14456393.330908941,13301863.247348014,388595.0281753456,765935.0553855811,21792791.769315634,21654257.43671832,596980.8389421275,735515.1715394408,217411.48105349793,2624064.85391983,-213203.9319626391
0.8,0.8,0.85,0.8,06:00 + 12:00 + 18:00,14456621.884695038,13552570.33119702,106419.48428772863,797632.0692102895,22166054.834668174,21624728.207228906,413128.1305706778,954454.7580099478,217897.1521929438,2598023.8778511817,-212975.378176542
0.75,0.85,0.9,0.85,06:00 + 12:00 + 18:00,14458172.367601532,13301863.247348014,503012.2553079536,653296.8649455643,21792791.769315634,21790145.448644586,675339.2286723062,677985.549343352,191379.60397319216,2731318.8045297675,-211424.8952700477
0.75,0.9,0.85,0.75,06:00 + 12:00 + 18:00,14458655.654498558,13301863.247348014,375792.59381268854,780999.8133378543,21792791.769315634,21665273.652428843,602553.62635739,730071.7432441819,219024.13262488687,2633720.877207647,-210941.6083730217
0.75,0.8,0.85,0.75,06:00 + 12:00 + 18:00,14458921.54379911,13301863.247348014,264432.0438509312,892626.2526001651,21792791.769315634,21502550.21718011,515434.54921738117,805676.1013529026,246555.73782043552,2504180.422997065,-210675.71907247044
0.7,0.85,0.85,0.8,06:00 + 12:00 + 18:00,14459146.141894625,13074075.432741124,572942.8427682448,812127.8663852566,21451275.53185317,21568012.245446496,726943.4552999004,610206.7417065792,236619.94589572347,2557526.7595958086,-210451.1209769547
0.8,0.85,0.8,0.8,06:00 + 12:00 + 18:00,14459422.241962481,13552570.33119702,97785.30261910624,809066.6081463536,22166054.834668174,21615580.761128068,410171.77156738844,960645.8451074956,220633.31998430396,2590751.6273024944,-210175.0209090989
0.8,0.8,0.85,0.85,06:00 + 12:00 + 18:00,14460372.294921417,13552570.33119702,165844.26130704838,741957.7024173485,22166054.834668174,21689999.42699235,446462.3448278388,922517.752503668,205659.58157297358,2651053.903807498,-209224.9679501634
0.75,0.9,0.85,0.85,06:00 + 12:00 + 18:00,14460440.231400985,13301863.247348014,495069.6226404385,663507.361412532,21792791.769315634,21784833.255656116,675492.5997557491,683451.1134152696,193414.0259094407,2727681.650502084,-209157.03147059493
0.75,0.8,0.85,0.85,06:00 + 12:00 + 18:00,14460706.120701538,13301863.247348014,383709.0726786811,775133.8006748429,21792791.769315634,21622109.820407383,588373.5226157403,759055.4715239905,220945.63110498936,2598141.1962915007,-208891.1421700418
0.8,0.8,0.9,0.8,06:00 + 12:00 + 18:00,14460742.315598654,13552570.33119702,174749.08252751536,733422.9018741199,22166054.834668174,21721617.561370164,459363.5987630376,903800.8720610517,202333.3701959182,2676892.1216020836,-208854.94727292657
0.75,0.9,0.8,0.8,06:00 + 12:00 + 18:00,14461403.66249126,13301863.247348014,371293.4783552834,788246.9367879626,21792791.769315634,21639953.572663985,594121.2874749713,746959.4841266186,222580.98503147284,2613886.802612581,-208193.6003803201
0.75,0.85,0.8,0.75,06:00 + 12:00 + 18:00,14461664.011581978,13301863.247348014,255073.12669838395,904727.6375355788,21792791.769315634,21493558.54611425,512421.6266667819,811654.8498681627,249690.81986216188,2497639.5257174997,-207933.25128960237
0.75,0.8,0.8,0.8,06:00 + 12:00 + 18:00,14461669.551791813,13301863.247348014,259932.928393526,899873.3760502735,21792791.769315634,21477230.137415256,507002.2103349624,822563.8422353393,250112.5902270215,2484346.3484019986,-207927.71107976697
0.8,0.85,0.8,0.85,06:00 + 12:00 + 18:00,14463172.652188858,13552570.33119702,157210.079638426,753392.2413534127,22166054.834668174,21680851.98089151,443505.98582454945,928708.8396012154,208395.74936433375,2643781.653258811,-206424.61068272218
0.8,0.85,0.85,0.75,06:00 + 12:00 + 18:00,14463219.898932254,13552570.33119702,108037.337010601,802612.2307246322,22166054.834668174,21640558.814657904,426224.76473206177,951720.7847423342,217242.565739981,2610414.0415905854,-206377.36393932626
0.8,0.9,0.8,0.8,06:00 + 12:00 + 18:00,14463245.5368189,13552570.33119702,157235.08570345346,753440.1199184272,22166054.834668174,21706376.14155415,455123.2943231284,914801.9874371546,206911.43121024536,2664463.1882275483,-206351.72605268098
0.75,0.85,0.8,0.85,06:00 + 12:00 + 18:00,14463448.588484405,13301863.247348014,374350.1555261339,787235.1856102567,21792791.769315634,21613118.149341524,585360.6000651412,765034.2200392504,224080.71314671572,2591600.299011936,-206148.6743871756
0.7,0.85,0.85,0.75,06:00 + 12:00 + 18:00,14463466.0138581,13074075.432741124,515444.6295993379,873945.951517638,21451275.53185317,21513708.88913256,690065.677179134,627632.3198997455,249992.48199119943,2516596.0122576896,-206131.2490134798
0.8,0.8,0.9,0.85,06:00 + 12:00 + 18:00,14464492.725825034,13552570.33119702,234173.85954683519,677748.5350811789,22166054.834668174,21786888.781133607,492697.81302019855,871863.8665547717,190095.79957594795,2729922.1475584,-205104.53704654612
0.75,0.9,0.9,0.75,06:00 + 12:00 + 18:00,14466264.10183091,13301863.247348014,448274.1532272458,716126.7012556517,21792791.769315634,21762684.40333681,653974.2126092189,684081.5785880412,203252.4119534252,2712674.560792293,-203333.1610406693
0.75,0.8,0.9,0.75,06:00 + 12:00 + 18:00,14466529.991131466,13301863.247348014,336913.6032654884,827753.1405179624,21792791.769315634,21599960.968088083,566855.1354692101,759685.936696762,230784.0171489739,2583134.1065817103,-203067.27174011432
0.8,0.9,0.8,0.85,06:00 + 12:00 + 18:00,14466995.94704528,13552570.33119702,216659.86272277316,697765.7531254862,22166054.834668174,21771647.36131759,488457.50858028943,882864.9819308745,194673.8605902751,2717493.2141838646,-202601.31582630053
0.7,0.8,0.85,0.8,06:00 + 12:00 + 18:00,14467033.05115494,13074075.432741124,521994.2100995101,870963.4083143051,21451275.53185317,21496209.369978014,685876.6647191753,640942.826594333,251053.8463993218,2502659.5298340414,-202564.21171664074
0.8,0.9,0.85,0.75,06:00 + 12:00 + 18:00,14467043.193788674,13552570.33119702,167487.12009494822,746985.7424967056,22166054.834668174,21731354.195083983,471176.2874878018,905876.9270719932,203520.6769659224,2684125.602515638,-202554.06908290647
0.8,0.85,0.9,0.75,06:00 + 12:00 + 18:00,14467340.329835871,13552570.33119702,176366.93525038776,738403.0633884625,22166054.834668174,21737448.168799162,472460.23292442155,901066.898793438,201678.7837429554,2689282.2853414873,-202256.93303570896
0.75,0.9,0.9,0.85,06:00 + 12:00 + 18:00,14468048.67873334,13301863.247348014,567551.1820549956,598634.2493303294,21792791.769315634,21882244.00656408,726913.1860075782,637460.9487591292,177642.30523797905,2806635.334086729,-201548.58413824067
0.75,0.8,0.9,0.85,06:00 + 12:00 + 18:00,14468314.568033893,13301863.247348014,456190.63209323824,710260.6885926402,21792791.769315634,21719520.571315352,639794.1088675694,713065.3068678499,205173.91043352772,2677094.879876147,-201282.69483768754
0.7,0.85,0.8,0.8,06:00 + 12:00 + 18:00,14468955.551338835,13074075.432741124,513027.5697531913,881852.5488445192,21451275.53185317,21487302.357161175,683110.9000250126,647084.0747170079,253768.43427508645,2496065.548160319,-200641.7115327455
0.85,0.85,0.9,0.85,06:00 + 12:00 + 18:00,14470382.916173542,13853958.415132798,30662.632642176504,585761.868398567,22612094.235859778,21932838.87794,373362.086771482,1052617.4446912557,160337.30748143853,2844370.7978992034,-199214.34669803828
0.8,0.9,0.9,0.75,06:00 + 12:00 + 18:00,14471163.624692291,13552570.33119702,235816.71833473502,682776.575160536,22166054.834668174,21828243.54922524,517411.7556801615,855223.041123097,187956.89496889678,2762993.8462665402,-198433.63817928918
0.85,0.9,0.9,0.85,06:00 + 12:00 + 18:00,14471296.79228779,13853958.415132798,85162.17500818313,532176.2021468072,22612094.235859778,22022864.062717594,410779.17574540543,1000009.3488875884,146910.78635100697,2917533.8592164367,-198300.4705837909
0.7,0.8,0.85,0.75,06:00 + 12:00 + 18:00,14471352.923118414,13074075.432741124,464495.99693060317,932781.4934466864,21451275.53185317,21441906.01366408,648998.8865984087,658368.4047874993,264426.38249479776,2461728.7824959215,-198244.33975316584
