month,total_cost_yuan,v001,saving_vs_v001
2025-02,1209650.6717113743,1274122.3446453193,64471.67293394497
2025-03,1115121.027478919,1196420.186994584,81299.15951566515
2025-04,925991.4502640215,1014112.0188470836,88120.56858306204
2025-05,973967.2544854955,1054879.9434364068,80912.68895091128
2025-06,1309351.0516345534,1426538.4526171046,117187.40098255128
2025-07,1505591.2730906375,1614826.2362144198,109234.9631237823
2025-08,1294346.5541647621,1368998.4753487771,74651.921184015
2025-09,1142343.374417684,1225730.9018144463,83387.52739676228
2025-10,1114414.5315367123,1197930.4940160776,83515.96247936529
2025-11,1268172.1341131653,1330195.7402758931,62023.60616272781
2025-12,1662460.3845549105,1734887.8889341124,72427.50437920191
