horizon,recourse,terminal_value,total_cost,plan_cost,adjustment_cost,emergency_cost,plan_kwh,final_kwh,upward_kwh,downward_kwh,emergency_kwh,spill_kwh,mean_soc,min_soc,max_soc,mean_soc_open,mean_soc_close,charge_kwh,discharge_kwh,delta_vs_v001
rest_of_day,greedy,0.44891944444444437,13521409.707452236,13186919.25679596,271544.7606689939,62945.68998728275,21500147.87287376,21032762.59514883,501515.09585990454,968900.3735848318,11602.854539463442,1888927.5314945108,6926.063571432714,1200.0,10800.0,2674.3702464117428,2672.485453577257,6404289.431332465,5188041.008105343,-917232.9756919872
rest_of_day,greedy,0.38309861111111115,13539032.077522606,13185081.531953879,282563.2941262908,71387.25144243611,21468188.21163597,21017763.04792629,520989.4768380943,971414.640547774,15619.181611456745,1881434.0494572683,6815.021457199434,1200.0,10800.0,2007.220562250341,2005.0960660468659,6386301.62459252,5173542.939478707,-899610.6056216173
rest_of_day,greedy,0.22445972222222219,13541358.07263282,13189760.536833405,280210.28435697843,71387.25144243611,21479288.920926154,21017811.84384487,520982.8469181304,982459.9239994151,15619.181611456745,1881418.7057372727,6810.535184865608,1200.0,10800.0,1977.2030023675713,1975.0785061640966,6386639.20163765,5173816.376885261,-897284.6105114035
rest_of_day,greedy,0.0,13541620.907941336,13190240.292442095,279993.36405680276,71387.25144243611,21480423.38099955,21017822.944450773,520982.7034836026,983583.1400323797,15619.181611456745,1881418.3500613938,6809.962429867315,1200.0,10800.0,1974.1420469744894,1972.0175507710146,6386699.497857552,5173865.216823382,-897021.7752028871
rest_of_day,greedy,0.19154930555555558,13541620.907941336,13190240.292442095,279993.3640568027,71387.25144243611,21480423.38099955,21017822.944450773,520982.7034836026,983583.1400323797,15619.181611456745,1881418.3500613938,6809.962429867315,1200.0,10800.0,1974.1420469744894,1972.0175507710146,6386699.497857553,5173865.216823382,-897021.7752028871
block,greedy,0.6976,13547769.694036175,13347726.406521507,144196.66422986746,55846.62328480376,21878489.34180858,21270327.844199874,270036.12344430195,878197.621053011,9685.959348294215,2044003.4263038682,7933.969882134544,1200.0,10800.0,10777.253515719674,10777.253515719676,6825373.064619123,5528552.18234149,-890872.9891080484
block,greedy,0.5746479166666667,13548669.455125764,13347841.873932082,144807.3235964494,56020.25759723349,21878782.61155603,21263269.74951474,262893.0830746895,878405.9451159814,9710.849588034716,2037810.0245373708,7929.422856147641,1200.0,10800.0,10776.399569195188,10776.399569195188,6820953.0505196825,5524971.970920943,-889973.2280184589
block,greedy,0.7661972222222223,13552377.705954954,13346459.856728986,150059.36232174514,55858.486904226695,21875270.420098968,21302266.31400798,305440.6174558399,878444.723546829,9687.720443732936,2072782.6245132787,7951.683781115013,1200.0,10800.0,10786.622281061078,10786.622281061078,6842010.078798789,5542028.163827019,-886264.9771892689
block,greedy,0.44891944444444437,13637656.380783923,13177331.756907752,404153.19160922884,56171.43226694196,21477818.21679946,20858127.026264086,443823.14807135495,1063514.3386067303,10627.215210933096,1726092.2799896798,6881.208279922141,1200.0,10800.0,2735.613671592526,2733.798756802739,6336936.999497287,5133464.532978613,-800986.3023603
rest_of_day,greedy,0.5746479166666667,13681149.775940448,13347987.167976327,271948.9340766053,61213.67388751463,21879153.110949747,21405147.37487518,502982.34499352507,976988.0810680919,10603.509952771954,2163803.159247388,7939.6102907817785,1200.0,10800.0,10775.326180338388,10775.326180338388,6909253.845336305,5596495.6147224065,-757492.9072037749
rest_of_day,greedy,0.6976,13681945.714466432,13347871.700565752,273033.974325594,61040.03957508488,21878859.841202296,21406702.458419003,504649.6554774274,976807.0382607196,10578.61971303145,2165341.433730272,7939.999830630435,1200.0,10800.0,10776.180126862873,10776.180126862875,6909211.3128162995,5596461.163381203,-756696.9686777908
rest_of_day,greedy,0.7661972222222223,13692742.937209811,13346522.794568157,285180.1030665684,61040.03957508489,21875436.780907713,21422280.986640498,523644.8535505963,976800.6478178117,10578.619713031452,2180653.760374642,7942.713520975554,1200.0,10800.0,10786.162812705863,10786.162812705863,6910612.373748541,5597596.022736319,-745899.7459344119
rest_of_day,greedy,0.9577465277777779,13692742.937209811,13346522.794568157,285180.1030665684,61040.03957508489,21875436.780907713,21422280.986640498,523644.8535505963,976800.6478178117,10578.619713031452,2180653.760374642,7942.713520975554,1200.0,10800.0,10786.162812705863,10786.162812705863,6910612.373748541,5597596.022736319,-745899.7459344119
block,greedy,0.9577465277777779,13762917.164770056,13346436.124575753,360132.2854307621,56348.75476354087,21875206.439046077,21564815.810200006,627577.3197741078,937967.9486201804,9770.874872652705,2335658.9974273182,8013.79761266562,1200.0,10800.0,10786.794450519916,10786.794450519916,6840727.329887763,5540989.137209088,-675725.5183741674
rest_of_day,planned,0.44891944444444437,14401644.632754564,13304781.44341695,322762.12355129124,774101.0657863244,21776086.64532988,21577532.718268313,523563.92574525124,722117.8528068215,218801.14350570593,2571370.601324139,6253.206714943403,1200.0,10800.0,1927.267672057854,1927.4392507437392,6766958.889106514,5481185.123623299,-36998.05038965866
rest_of_day,planned,0.38309861111111115,14415854.743991049,13308152.094511205,333554.9123954297,774147.7370844142,21755481.926364526,21573882.79829457,542650.5930378039,724249.7211077589,218810.63050602906,2571380.0883244625,6160.73919434508,1200.0,10800.0,1232.7893698686983,1232.7893698686983,6748020.2395235365,5465896.394014065,-22787.93915317394
rest_of_day,planned,0.22445972222222219,14418504.744858129,13312898.901512781,331210.95147238,774394.8918729691,21766527.209816165,21573882.798294574,542650.5930378039,735295.0045594,218851.83207503182,2571421.289893465,6158.650560322512,1200.0,10800.0,1203.0266300289468,1203.0266300289468,6748020.239523536,5465896.394014065,-20137.938286093995
rest_of_day,planned,0.0,14418770.724934157,13313381.606122367,330994.2269388196,774394.8918729691,21767650.425849132,21573882.79829457,542650.5930378039,736418.2205923646,218851.83207503182,2571421.289893465,6158.297007695224,1200.0,10800.0,1200.0000000000007,1200.0000000000007,6748020.2395235365,5465896.394014065,-19871.95821006596
rest_of_day,planned,0.19154930555555558,14418770.724934157,13313381.606122369,330994.2269388196,774394.8918729691,21767650.425849132,21573882.79829457,542650.5930378039,736418.2205923646,218851.83207503182,2571421.289893465,6158.29336897347,1200.0,10800.0,1200.0000000000007,1200.0000000000007,6748020.2395235365,5465896.394014065,-19871.95821006596
rest_of_day,planned,0.5746479166666667,14443368.1353273,13352315.925779955,317509.7754979376,773542.4340494077,21890565.12098866,21679136.939779673,522247.14854702493,733675.3297560068,218564.6388120873,2574030.540039553,7394.994083032131,1200.0,10800.0,10743.708526708213,10743.85938073735,7286506.299286241,5902024.755700697,4725.452183077112
rest_of_day,planned,0.6976,14443756.828617018,13351624.253201988,318590.14136562316,773542.4340494077,21888775.213969477,21679192.590891227,523912.15505770256,733494.778135949,218564.63881208727,2574030.540039553,7396.5461276335345,1200.0,10800.0,10748.790844899417,10748.928038290525,7286820.812440688,5902283.617743591,5114.145472794771
rest_of_day,planned,0.9577465277777779,14448979.988783494,13344661.939860893,330656.970341895,773661.0785807071,21870803.772064663,21680174.521443047,542865.5275143294,733494.778135949,218592.24170791046,2574058.142935376,7409.356145735337,1200.0,10800.0,10800.0,10800.0,7292205.922362705,5906686.797113791,10337.305639270693
rest_of_day,planned,0.7661972222222223,14448979.988783494,13344661.939860893,330656.970341895,773661.0785807071,21870803.772064663,21680174.521443047,542865.5275143294,733494.778135949,218592.24170791046,2574058.142935376,7409.356145735337,1200.0,10800.0,10800.0,10800.0,7292205.922362705,5906686.797113791,10337.305639270693
block,planned,0.7661972222222223,14627264.774856307,13344661.939860893,502605.52315719833,779997.3118382134,21870803.772064663,21663036.002502613,457561.1328308333,665328.9023928873,220096.39876225218,2598498.140625729,7501.331017063333,1200.0,10800.0,10800.0,10800.0,7081288.240381412,5735843.474708945,188622.09171208367
block,planned,0.6976,14669780.714677049,13351801.133093145,537982.2697456934,779997.3118382134,21889230.709649112,21652489.670564428,427949.5827682476,664690.6218529305,220096.39876225224,2598498.140625729,7446.407459331737,1200.0,10800.0,10747.4927083696,10747.629901760709,7025564.175794316,5690665.74206003,231138.0315328259
block,planned,0.9577465277777779,14670630.956075232,13344661.939860893,554778.368198625,771190.6480157147,21870803.772064663,21826418.995038725,709274.3043858483,753659.0814117874,217649.5401766526,2742688.075386444,7659.453851633307,1200.0,10800.0,10800.0,10800.0,7169426.130854048,5807235.165991779,231988.27293100953
block,planned,0.5746479166666667,14682687.51842114,13352461.481002735,550228.7255801903,779997.3118382134,21890936.51292359,21649933.608077563,423679.95013619435,664682.8549822185,220096.39876225224,2598498.140625729,7434.404795192705,1200.0,10800.0,10742.637885448288,10742.788739477424,7012089.602769814,5679747.231522392,244044.83527691662
block,planned,0.44891944444444437,14947747.048309948,13306068.238041552,860611.05569552,781067.7545728767,21779080.88150192,21548469.972318176,636355.2644675131,866966.173651255,220317.79170258075,2595477.201569882,6232.094624624807,1200.0,10800.0,1919.199370995479,1919.3709496813638,6495102.583848604,5260981.516364394,509104.36516572535
block,greedy,0.38309861111111115,16257144.541142823,13180421.096711868,2996454.7112620403,80268.73316891344,21457285.68787839,20749015.999549106,2171924.5478621284,2880194.2361914115,18488.630293798084,1614020.833418103,6097.143859989756,1200.0,10800.0,2036.9667784921025,2035.0783280136156,6394010.366694573,5179716.065236438,1818501.8579986002
block,greedy,0.22445972222222219,16459938.658623524,13185487.982824888,3169450.163570416,105000.51222821826,21469256.117197506,20503524.174796075,2280509.026537976,3246240.9689394115,23372.72572703907,1426160.2836321509,5719.674726247737,1200.0,10800.0,2004.4749171303936,2002.6204216875524,6116339.911865331,4954792.789941037,2021295.975479301
block,greedy,0.19154930555555558,16460256.305732625,13185967.131752562,3169288.6617518454,105000.51222821826,21470387.166695833,20503498.951713517,2280517.826352296,3247406.041334615,23372.72572703907,1426166.2425417863,5718.979918641549,1200.0,10800.0,2001.4139617373114,1999.559466294471,6116175.796116952,4954659.8561848495,2021613.6225884017
block,greedy,0.0,16460256.305732625,13185967.131752562,3169288.6617518454,105000.51222821826,21470387.166695833,20503498.951713517,2280517.826352296,3247406.041334615,23372.72572703907,1426166.2425417863,5718.979918641549,1200.0,10800.0,2001.4139617373114,1999.559466294471,6116175.796116952,4954659.8561848495,2021613.6225884017
block,planned,0.38309861111111115,17643798.72778563,13308152.094511205,3552365.0920767253,783281.5411976981,21755481.926364526,21532135.57431622,2393805.9660971346,2617152.3181454446,221011.84466185782,2590259.7361002937,5447.410628134939,1200.0,10800.0,1232.7893698686978,1232.7893698686978,6440516.778479548,5216818.590568434,3205156.0446414053
block,planned,0.22445972222222219,17968239.031241413,13312898.901512781,3871351.2366268574,783988.8931017763,21766527.209816165,21405172.927594084,2547234.708538279,2908588.9907603613,221313.87336391566,2564342.350667511,4935.857684297782,1200.0,10800.0,1203.026630028946,1203.026630028946,5910289.23854644,4787334.283222617,3529596.3480971903
block,planned,0.19154930555555558,17968577.192507748,13313381.606122369,3871206.6932836026,783988.8931017763,21767650.425849132,21405199.78974863,2547234.708538279,2909685.3446387798,221313.87336391566,2564342.350667511,4935.281296054262,1200.0,10800.0,1200.0,1200.0,5910430.6183072105,4787448.800828841,3529934.5093635246
block,planned,0.0,18913964.648768395,13313381.606122369,4896868.694033727,703714.3486122999,21767650.425849132,22135889.66986656,2996665.265515032,2628426.021497607,199005.00666936772,3431358.8601337383,4080.6478811212314,1200.0,10800.0,1200.0,1200.0,5075506.954923789,4111160.633488269,4475321.965624172
