name,target_mode,need_kind,cover_ratio,fixed_kwh,n_cheapest,enforce,anchor,total_cost,plan_cost,adjustment_cost,emergency_cost,plan_kwh,final_kwh,upward_kwh,downward_kwh,emergency_kwh,spill_kwh,mean_soc,min_soc,max_soc,mean_soc_open,mean_soc_close,charge_kwh,discharge_kwh,mean_midnight_target,delta_vs_v002
v002_baseline,off,,0.0,0.0,37,soft,h0_and_h18,13521573.412340429,13188515.901656084,270111.8206970634,62945.68998728275,21503867.694092624,21033486.700421516,501579.8356013644,971960.8292724688,11602.854539463442,1889014.2982815248,6924.258007793334,1200.0,10800.0,2664.3467760615213,2662.4619832270355,6407643.844414932,5190758.082702142,,163.70488819293678
hist_morning_c0.3_n37_soft,forecast,hist_morning,0.3,0.0,37,soft,h0_and_h18,13524284.684543584,13181897.853802213,279930.44517431536,62456.38556705658,21504267.461517874,21048750.190230623,517463.76703244774,972981.0383196977,11386.136209757227,1907204.0317035387,7250.484916764823,1200.0,10800.0,4765.678895507778,4757.84961859659,6400506.738998326,5186763.939228147,4018.063986497838,2874.9770913477987
hist_morning_c0.3_n37_ge,forecast,hist_morning,0.3,0.0,37,ge,h0_and_h18,13524284.684543584,13181897.853802213,279930.44517431536,62456.38556705658,21504267.461517874,21048750.190230623,517463.7670324477,972981.0383196977,11386.136209757227,1907204.0317035387,7250.484916764823,1200.0,10800.0,4765.678895507778,4757.84961859659,6400506.738998326,5186763.939228147,4018.063986497838,2874.9770913477987
hist_morning_c0.3_n24_soft,forecast,hist_morning,0.3,0.0,24,soft,h0_and_h18,13524309.981801685,13181898.365411393,279955.06729160494,62456.54909868784,21504268.649914205,21048746.243227012,517485.66005327646,973008.066740474,11386.159651791524,1907203.4089063206,7250.482618722343,1200.0,10800.0,4765.675693242208,4757.846416331018,6400489.36655432,5186749.867548503,4018.063986497838,2900.2743494492024
hist_morning_c0.3_n24_ge,forecast,hist_morning,0.3,0.0,24,ge,h0_and_h18,13524309.981801685,13181898.365411393,279955.06729160494,62456.54909868784,21504268.649914205,21048746.243227012,517485.66005327646,973008.066740474,11386.159651791524,1907203.4089063206,7250.482734376174,1200.0,10800.0,4765.675693242208,4757.846416331018,6400489.36655432,5186749.867548503,4018.063986497838,2900.2743494492024
hist_morning_c0.3_n12_soft,forecast,hist_morning,0.3,0.0,12,soft,h0_and_h18,13524822.288888678,13182909.162156288,279478.04203764827,62435.08469474411,21506633.95774319,21048575.472523004,517800.9616384255,975859.4468586132,11383.16967026372,1907120.74193946,7249.4002277108675,1200.0,10800.0,4759.098621767433,4751.269266060168,6400010.050593386,5186361.645306246,4018.063986497838,3412.5814364422113
hist_morning_c0.3_n12_ge,forecast,hist_morning,0.3,0.0,12,ge,h0_and_h18,13524822.288888678,13182909.162156288,279478.0420376482,62435.08469474411,21506633.95774319,21048575.472523004,517800.9616384255,975859.4468586132,11383.16967026372,1907120.74193946,7249.4002277108675,1200.0,10800.0,4759.098621767433,4751.269266060168,6400010.050593386,5186361.645306246,4018.063986497838,3412.5814364422113
fixed_3000_n37_soft,fixed,,0.0,3000.0,37,soft,h0_and_h18,13526164.249287577,13181995.079968277,282373.5059532561,61795.66336604695,21496650.988458134,21044808.003589876,520585.01938701596,972428.0042552734,11025.752959680889,1897720.1860821838,7101.76663963832,1200.0,10800.0,3744.7732357329546,3742.7661199284566,6418565.339534437,5199641.264033727,3000.0,4754.541835341603
fixed_3000_n37_ge,fixed,,0.0,3000.0,37,ge,h0_and_h18,13526164.249287577,13181995.079968277,282373.5059532561,61795.66336604695,21496650.988458134,21044808.003589876,520585.01938701596,972428.0042552734,11025.752959680889,1897720.1860821838,7101.76663963832,1200.0,10800.0,3744.7732357329546,3742.7661199284566,6418565.339534437,5199641.264033727,3000.0,4754.541835341603
fixed_3000_n24_soft,fixed,,0.0,3000.0,24,soft,h0_and_h18,13526189.546065763,13181995.591097541,282398.1280705457,61795.82689767821,21496652.17685447,21044804.056586266,520606.9124078448,972455.0326760497,11025.776401715186,1897719.5632849657,7101.764131081856,1200.0,10800.0,3744.7700334673846,3742.7629176628857,6418547.967090432,5199627.192354081,3000.0,4779.838613526896
fixed_3000_n24_ge,fixed,,0.0,3000.0,24,ge,h0_and_h18,13526189.546065763,13181995.591097541,282398.1280705457,61795.82689767821,21496652.17685447,21044804.056586266,520606.9124078448,972455.0326760497,11025.776401715186,1897719.5632849657,7101.764200628791,1200.0,10800.0,3744.7700334673846,3742.7629176628857,6418547.967090432,5199627.192354081,3000.0,4779.838613526896
