,2025-03-20,2025-06-21,2025-09-23,2025-12-21
10:00-10:10,0.0,0.0,0.0,0.0
12:00-12:10,584.2094708333331,0.0,395.2250333333333,1036.0858729166666
14:00-14:10,0.0,0.0,0.0,0.0
16:00-16:10,629.1392083333332,162.42433125000008,489.92381958333374,840.0572501388896
18:00-18:10,744.0942083333334,483.46514180555596,803.580982638889,742.03599
20:00-20:10,0.0,0.0,0.0,0.0
daily planned purchase (kWh),70012.35612783753,35951.983015346195,69538.74528884472,98077.65243314134
daily planned cost (yuan),42868.37992862708,21160.123689393236,43108.744964535865,63139.10645887157
daily final purchase (kWh),67053.24739689787,35615.8538620213,67490.1527147769,96781.0233417204
daily adjustment cost (yuan),-159.4760542217772,-16.133948492781926,977.38315447698,110.55925436517214
daily emergency purchase (kWh),0.0,0.0,6.375,0.0
daily total cost (yuan),42708.9038744053,21143.989740900455,44129.124306512844,63249.66571323674
