name,target_mode,waypoint,need_kind,cover_ratio,fixed_kwh,n_cheapest,enforce,total_cost,plan_cost,adjustment_cost,emergency_cost,plan_kwh,final_kwh,upward_kwh,downward_kwh,emergency_kwh,spill_kwh,mean_soc,min_soc,max_soc,mean_soc_open,mean_soc_close,charge_kwh,discharge_kwh,mean_soc6_target,delta_vs_v002
v002_baseline,off,midnight,,0.0,0.0,48,soft,13521409.707452236,13186919.25679596,271544.7606689939,62945.68998728275,21500147.87287376,21032762.59514883,501515.09585990454,968900.3735848318,11602.854539463442,1888927.5314945108,6926.063571432714,1200.0,10800.0,2674.3702464117428,2672.485453577257,6404289.431332465,5188041.008105343,,0.0
mask_only_forbid_18_22,mask_only,midnight,,0.0,0.0,48,soft,13521991.073727233,13187991.854563631,271053.45399777236,62945.76516582905,21502651.918231107,21032759.826132864,501809.0137543337,971701.105852579,11602.952227443955,1888995.2382649377,6924.556798429585,1200.0,10800.0,2667.4164099610903,2665.531617126604,6403919.020288149,5187740.975159448,,581.366274997592
midnight_hist_morning_c0.3_n48_ge,forecast,midnight,hist_morning,0.3,0.0,48,ge,13525357.449366085,13181754.164933113,280753.0072539153,62850.27717905561,21503207.596734457,21047853.90672447,517765.7081912986,973119.3982012825,11589.264155945468,1907166.34276919,7231.588829390653,1200.0,10800.0,4768.328409735827,4760.49913282464,6397056.914652979,5183969.581508417,4018.063986497838,3947.741913849488
midnight_hist_morning_c0.3_n48_soft,forecast,midnight,hist_morning,0.3,0.0,48,soft,13525357.449366085,13181754.164933113,280753.0072539153,62850.27717905561,21503207.596734457,21047853.90672447,517765.7081912986,973119.3982012825,11589.264155945468,1907166.34276919,7231.588447819538,1200.0,10800.0,4768.328409735827,4760.49913282464,6397056.914652979,5183969.581508417,4018.063986497838,3947.741913849488
midnight_fixed3000_n48_soft,fixed,midnight,,0.0,3000.0,48,soft,13526672.169562139,13181681.75332434,283220.49023180903,61769.926005991394,21495876.394127116,21044197.910182778,520946.1442618069,972624.6282061469,11022.150455774667,1897781.8990239068,7102.305347979343,1200.0,10800.0,3746.5176132369193,3744.510497432421,6415010.556099003,5196761.889451025,3000.0,5262.462109902874
midnight_fixed3000_n48_ge,fixed,midnight,,0.0,3000.0,48,ge,13526672.169562139,13181681.75332434,283220.49023180903,61769.926005991394,21495876.394127116,21044197.910182778,520946.1442618069,972624.6282061469,11022.150455774667,1897781.8990239068,7102.3057295504605,1200.0,10800.0,3746.5176132369193,3744.510497432421,6415010.556099003,5196761.889451025,3000.0,5262.462109902874
midnight_fixed4000_n48_soft,fixed,midnight,,0.0,4000.0,48,soft,13531450.707933763,13186711.04866613,282758.76849422354,61980.890773405816,21513955.045113675,21060810.446604308,520643.123364293,973787.7218736642,10989.594791694111,1906753.1346427486,7273.719236543091,1200.0,10800.0,4718.597229502718,4716.511541341203,6455180.892883886,5229323.4810973,4000.0,10041.000481527299
midnight_fixed4000_n48_ge,fixed,midnight,,0.0,4000.0,48,ge,13531450.707933763,13186711.04866613,282758.76849422354,61980.890773405816,21513955.045113675,21060810.446604308,520643.123364293,973787.7218736642,10989.594791694111,1906753.1346427486,7273.719618114207,1200.0,10800.0,4718.597229502718,4716.511541341203,6455180.892883886,5229323.4810973,4000.0,10041.000481527299
midnight_fixed5000_n48_soft,fixed,midnight,,0.0,5000.0,48,soft,13541501.196313784,13197590.303798342,281970.11413004296,61940.778385399775,21543824.982365742,21088404.48553323,520186.6792639893,975607.1760965008,10983.844736073981,1924736.3999937305,7387.979027917329,1200.0,10800.0,5665.257704104831,5663.146035992918,6505774.751280792,5270312.315971883,5000.0,20091.488861547783
midnight_fixed5000_n48_ge,fixed,midnight,,0.0,5000.0,48,ge,13541501.196313784,13197590.303798342,281970.11413004296,61940.778385399775,21543824.982365742,21088404.48553323,520186.6792639893,975607.1760965008,10983.844736073981,1924736.3999937305,7387.977330313462,1200.0,10800.0,5665.257704104831,5663.146035992918,6505774.751280792,5270312.315971883,5000.0,20091.488861547783
