mode,scope,ratio,price_cut,reserve_kwh,cover_ratio,look_ahead,need_gate,name,total_cost,plan_cost,adjustment_cost,emergency_cost,plan_kwh,final_kwh,upward_kwh,downward_kwh,emergency_kwh,spill_kwh,mean_soc,min_soc,max_soc,mean_soc_open,mean_soc_close,charge_kwh,discharge_kwh,held_kwh,delta_vs_v002
always,block,1.0,0.0,0.0,0.0,0,False,v002_baseline,13521409.707452236,13186919.25679596,271544.7606689939,62945.68998728275,21500147.87287376,21032762.59514883,501515.09585990454,968900.3735848318,11602.854539463442,1888927.5314945108,6926.063571432714,1200.0,10800.0,2674.3702464117428,2672.485453577257,6404289.431332465,5188041.008105343,0.0,0.0
hold_vs_remaining,block,0.5,0.0,0.0,0.0,0,False,hold_vs_block_r0.5,13521409.707452236,13186919.25679596,271544.7606689939,62945.68998728275,21500147.87287376,21032762.59514883,501515.09585990454,968900.3735848318,11602.854539463442,1888927.5314945108,6926.063571432714,1200.0,10800.0,2674.3702464117428,2672.485453577257,6404289.431332465,5188041.008105343,0.0,0.0
hold_vs_remaining,block,0.5,0.0,0.0,0.0,0,True,hold_vs_block_r0.5_need,13521409.707452236,13186919.25679596,271544.7606689939,62945.68998728275,21500147.87287376,21032762.59514883,501515.09585990454,968900.3735848318,11602.854539463442,1888927.5314945108,6926.063571432714,1200.0,10800.0,2674.3702464117428,2672.485453577257,6404289.431332465,5188041.008105343,0.0,0.0
forecast_floor,block,1.0,0.0,0.0,0.5,0,False,forecast_floor_block_c0.5,13521795.826955862,13186862.319837622,271092.0123007819,63841.49481745699,21500015.689912986,21032302.52101174,501187.2046835851,968900.3735848318,12037.813914009408,1888951.3715243433,6926.253381906357,1200.0,10800.0,2674.7264280425698,2672.8416352080835,6404031.7745304685,5187832.306095727,5607.541019408622,386.1195036265999
reserve_valley,block,1.0,0.0,800.0,0.0,0,False,reserve_valley_800,13536742.71182293,13182474.685934165,269522.4727342424,84745.55315452407,21489787.479766108,21020903.6423351,500014.3987061317,968898.2361371429,21689.5766733946,1889073.3435779111,6929.440463521444,1200.0,10800.0,2702.2874733485305,2700.4026805140443,6394194.469420858,5179864.088956943,11898.018787651225,15333.00437069498
reserve_below_mean,block,1.0,0.0,800.0,0.0,0,False,reserve_below_mean_800,13544307.818758138,13182004.324780257,269522.4727342424,92781.02124363727,21488693.058774244,21019809.221343234,500014.3987061317,968898.2361371429,24280.50198704676,1891173.684299068,6930.913295485741,1200.0,10800.0,2705.236511949362,2703.3622591218787,6390999.707707837,5177273.163643289,14543.591380694164,22898.11130590178
reserve_valley,block,1.0,0.0,1600.0,0.0,0,False,reserve_valley_1600,13571762.779214872,13175347.878107943,267316.5505472899,129098.35055963715,21473199.00130791,21002577.26609152,498279.8613160659,968901.5965324542,40025.95972413223,1892883.6545207677,6938.10279981382,1200.0,10800.0,2747.0547027424836,2745.347305649847,6373912.209969819,5163382.1336416,30234.401838388854,50353.071762636304
reserve_below_mean,block,1.0,0.0,1600.0,0.0,0,False,reserve_below_mean_1600,13583319.14380145,13174774.500524003,267321.49955461454,141223.1437228318,21471863.62327526,21001254.90709998,498279.8613160659,968888.5774913481,44288.51061660984,1896805.1023000202,6940.4886625280105,1200.0,10800.0,2750.6530267825465,2748.9561696969135,6368731.029946557,5159182.209496653,34551.60001025724,61909.436349214986
hold_below,block,1.0,0.55,0.0,0.0,0,False,hold_below_0.55,13645412.757810779,13174277.530682845,233607.13065369404,237528.09647423946,21470692.8310866,20968987.608804382,471582.4498350464,973287.6721172573,92151.7256044746,1918889.1048065885,6967.562564872602,1200.0,10800.0,2753.8229039096645,2752.126046824032,6334583.2098713005,5131522.475235696,82303.04439568761,124003.05035854317
hold_below,block,1.0,0.45,0.0,0.0,0,False,hold_below_0.45,13645412.757810779,13174277.530682845,233607.13065369404,237528.09647423946,21470692.8310866,20968987.608804382,471582.4498350464,973287.6721172573,92151.7256044746,1918889.1048065885,6967.562564872602,1200.0,10800.0,2753.8229039096645,2752.126046824032,6334583.2098713005,5131522.475235696,82303.04439568761,124003.05035854317
reserve_below_mean,block,1.0,0.0,3200.0,0.0,0,False,reserve_below_mean_3200,13654404.107549675,13174277.530682845,262649.60154000565,217476.97532682228,21470692.8310866,20995046.45434095,494408.7076721369,970055.0844177797,71076.48180893359,1923137.0843182898,6960.8032429132745,1200.0,10800.0,2753.8229039096645,2752.126046824032,6338454.905815121,5134658.54895019,61584.00975613089,132994.40009743907
reserve_valley,block,1.0,0.0,3200.0,0.0,0,False,reserve_valley_3200,13660581.994379431,13174850.908266785,263388.1208598306,222342.96525281464,21472028.20911924,20998132.92734044,495006.3147536496,968901.5965324542,68956.68338668709,1923625.912304157,6960.035939800308,1200.0,10800.0,2750.2245798696017,2748.517182776965,6340986.563275517,5136712.359819216,59165.12550094371,139172.28692719527
forecast_floor,block,1.0,0.0,0.0,1.0,0,False,forecast_floor_block_c1,13676507.213587299,13184988.150101816,265617.0658741166,225901.9976113672,21495622.22342267,21009469.419968575,499985.82732284756,986138.6307769411,46295.066559097024,1908290.768077356,6946.743093483284,1200.0,10800.0,2686.5906786333207,2684.721588808364,6362347.74676333,5154063.52327968,42895.53495946676,155097.50613506325
hold_vs_remaining,day,0.5,0.0,0.0,0.0,0,True,hold_vs_day_r0.5_need,13803040.769028705,13186935.80648844,213293.0290942579,402811.93344600603,21500186.279972043,20969729.792171635,451271.7448736121,981728.232674018,140052.98701353482,1977488.1216147924,7010.983345974483,1200.0,10800.0,2674.266754230743,2672.3819613962573,6282482.796472429,5089377.633868715,130307.63191972903,281631.06157646887
hold_vs_remaining,day,0.5,0.0,0.0,0.0,0,False,hold_vs_day_r0.5,13803040.769028705,13186935.80648844,213293.0290942579,402811.93344600603,21500186.279972043,20969729.792171635,451271.7448736121,981728.232674018,140052.98701353482,1977488.1216147924,7010.983345974483,1200.0,10800.0,2674.266754230743,2672.3819613962573,6282482.796472429,5089377.633868715,130307.63191972903,281631.06157646887
hold_below,block,1.0,0.8,0.0,0.0,0,False,hold_below_0.80,14142048.605808746,13173825.47453745,200030.98792758788,768192.143343706,21469639.41153519,20903124.120640133,446716.97583377856,1013232.2667288346,244919.64962406535,2039464.5125949583,7075.416224053035,1200.0,10800.0,2756.6617401162684,2754.9648830306355,6157367.568118514,4987977.805415938,235448.46621858294,620638.8983565103
hold_valley,block,1.0,0.0,0.0,0.0,0,False,hold_valley_hours,14606238.089016847,13174821.589319121,180478.0489729711,1250938.450724755,21471960.217145048,20816276.071862645,443508.709409959,1099192.8546923602,334682.60016645445,2063954.1839216978,7178.322772147403,1200.0,10800.0,2750.407791776119,2748.700394683483,6043832.824772534,4896017.831631799,325106.9829651599,1084828.3815646116
hold_vs_remaining,block,0.75,0.0,0.0,0.0,0,True,hold_vs_block_r0.75_need,16648837.435103578,13186890.006209668,202927.5464323079,3259019.882461604,21500080.039473847,20755885.11138158,489487.27117402846,1233682.1992662959,765712.8859936113,2542793.1187352333,7504.765400758881,1200.0,10800.0,2674.5530310222966,2672.6682381878104,5474641.85473335,4435026.47106006,754978.5088007768,3127427.7276513427
hold_vs_remaining,block,0.75,0.0,0.0,0.0,0,False,hold_vs_block_r0.75,16827672.07952255,13186960.51627353,197551.10172756243,3443160.46152146,21500243.601239562,20753302.278648816,486775.06453783356,1233716.3871285832,809673.5381767757,2593868.2784272847,7528.99588849106,1200.0,10800.0,2674.1122957254483,2672.2275028909626,5423603.221882563,4393685.178450923,798905.1094075202,3306262.3720703144
hold_vs_remaining,day,0.75,0.0,0.0,0.0,12,False,hold_ahead_12_r0.75,17104198.960498054,13187889.329872232,148045.492501443,3768264.138124381,21502413.154508673,20711749.662552677,446941.2731030405,1237604.765059032,915181.3755939591,2676879.187892352,7583.069476908632,1200.0,10800.0,2668.2661941021042,2666.381401267618,5323310.126387732,4312447.771100109,904279.9896791459,3582789.253045818
hold_vs_remaining,day,0.75,0.0,0.0,0.0,36,False,hold_ahead_36_r0.75,17719173.23903337,13188217.793049578,125153.71009360671,4405801.735890189,21503175.184331633,20691096.48848655,430350.83022513794,1242429.5260702232,1066471.105943858,2839756.4481655136,7625.044294611891,1200.0,10800.0,2666.2128203276543,2664.328027493168,5153622.210654083,4175000.559355854,1056546.1813579411,4197763.5315811355
forecast_floor,day,1.0,0.0,0.0,0.5,0,False,forecast_floor_day_c0.5,18104433.376890168,13186835.254335249,102313.04937505841,4815285.073179863,21499952.93574115,20483477.391050212,447995.9547446661,1464471.4994356045,1110832.320692884,2689642.656628758,7617.95455729204,1200.0,10800.0,2674.895526110402,2673.0107332759158,5084442.78354588,4118965.2233982095,1104796.1517930448,4583023.669437932
forecast_floor,block,1.0,0.0,0.0,1.5,0,False,forecast_floor_block_c1.5,18267846.102239974,12879869.100823415,214659.023037959,5173317.978378598,20782511.952239916,20094223.479191076,489356.04542574356,1177644.5184745835,885027.507371262,2016996.9911082066,7784.779736625385,1217.102520142771,10800.0,4638.575528339176,4635.172484751276,5389933.975736773,4366869.475249309,884692.2692937893,4746436.394787738
hold_below,block,1.0,1.0,0.0,0.0,0,False,hold_below_1.00,20296784.590059556,13172026.859747872,82630.40012965532,7042127.330182033,21465441.99463667,20480683.28065204,426005.10547251924,1410763.8194571505,1642859.5715625738,3340235.2930027256,7949.651606740277,1200.0,10800.0,2768.087446931433,2766.399530288457,4445397.115726845,3601279.051481624,1634398.0707813683,6775374.88260732
hold_vs_remaining,day,0.75,0.0,0.0,0.0,0,False,hold_vs_day_r0.75,21403962.78217943,13188217.793049578,70883.83428831995,8144861.154841535,21503175.184331633,20461697.577398334,426413.863182869,1467891.4701161687,1841649.732785882,3567076.8446135037,8011.6285407563355,1200.0,10800.0,2666.2128203276543,2664.328027493168,4198144.943842603,3401063.973238555,1831915.7598575861,7882553.074727194
