name,family,tv0,tv6,tv12,tv18,total_cost,plan_cost,adjustment_cost,emergency_cost,plan_kwh,final_kwh,upward_kwh,downward_kwh,emergency_kwh,spill_kwh,mean_soc,min_soc,max_soc,mean_soc_open,mean_soc_close,charge_kwh,discharge_kwh,delta_vs_v002
split_da0.449_upd0.500,split_da_upd,0.448919,0.5,0.5,0.5,13521406.73844815,13186919.25679596,271541.79166490794,62945.68998728275,21500147.87287376,21032762.59514883,501512.8063749524,968898.0840998796,11602.854539463442,1888927.5314945108,6926.06452348068,1200.0,10800.0,2674.3702464117428,2672.485453577257,6404289.431332465,5188041.008105343,-2.9690040852874517
split_da0.445_upd0.500,split_da_upd,0.445,0.5,0.5,0.5,13521406.73844815,13186919.25679596,271541.79166490794,62945.68998728275,21500147.87287376,21032762.59514883,501512.8063749524,968898.0840998796,11602.854539463442,1888927.5314945108,6926.06452348068,1200.0,10800.0,2674.3702464117428,2672.485453577257,6404289.431332465,5188041.008105343,-2.9690040852874517
eve_early0.445_h18_0.449,split_h18,0.445,0.445,0.445,0.448919,13521409.707452236,13186919.25679596,271544.7606689939,62945.68998728275,21500147.87287376,21032762.59514883,501515.09585990454,968900.3735848318,11602.854539463442,1888927.5314945108,6926.063571432714,1200.0,10800.0,2674.3702464117428,2672.485453577257,6404289.431332465,5188041.008105343,0.0
scalar_0.455000,scalar,0.455,0.455,0.455,0.455,13521409.707452236,13186919.25679596,271544.7606689939,62945.68998728275,21500147.87287376,21032762.59514883,501515.09585990454,968900.3735848318,11602.854539463442,1888927.5314945108,6926.063571432714,1200.0,10800.0,2674.3702464117428,2672.485453577257,6404289.431332465,5188041.008105343,0.0
scalar_0.450000,scalar,0.45,0.45,0.45,0.45,13521409.707452236,13186919.25679596,271544.7606689939,62945.68998728275,21500147.87287376,21032762.59514883,501515.09585990454,968900.3735848318,11602.854539463442,1888927.5314945108,6926.063571432714,1200.0,10800.0,2674.3702464117428,2672.485453577257,6404289.431332465,5188041.008105343,0.0
scalar_0.448919,scalar,0.448919,0.448919,0.448919,0.448919,13521409.707452236,13186919.25679596,271544.7606689939,62945.68998728275,21500147.87287376,21032762.59514883,501515.09585990454,968900.3735848318,11602.854539463442,1888927.5314945108,6926.063571432714,1200.0,10800.0,2674.3702464117428,2672.485453577257,6404289.431332465,5188041.008105343,0.0
scalar_0.445000,scalar,0.445,0.445,0.445,0.445,13521409.707452236,13186919.25679596,271544.7606689939,62945.68998728275,21500147.87287376,21032762.59514883,501515.09585990454,968900.3735848318,11602.854539463442,1888927.5314945108,6926.063571432714,1200.0,10800.0,2674.3702464117428,2672.485453577257,6404289.431332465,5188041.008105343,0.0
eve_early0.445_h18_0.495,split_h18,0.445,0.445,0.445,0.495,13521409.707452236,13186919.25679596,271544.7606689939,62945.68998728275,21500147.87287376,21032762.59514883,501515.09585990454,968900.3735848318,11602.854539463442,1888927.5314945108,6926.063571432714,1200.0,10800.0,2674.3702464117428,2672.485453577257,6404289.431332465,5188041.008105343,0.0
split_da0.449_upd0.475,split_da_upd,0.448919,0.475,0.475,0.475,13521409.707452236,13186919.25679596,271544.7606689939,62945.68998728275,21500147.87287376,21032762.59514883,501515.09585990454,968900.3735848318,11602.854539463442,1888927.5314945108,6926.063571432714,1200.0,10800.0,2674.3702464117428,2672.485453577257,6404289.431332465,5188041.008105343,0.0
split_da0.449_upd0.445,split_da_upd,0.448919,0.445,0.445,0.445,13521409.707452236,13186919.25679596,271544.7606689939,62945.68998728275,21500147.87287376,21032762.59514883,501515.09585990454,968900.3735848318,11602.854539463442,1888927.5314945108,6926.063571432714,1200.0,10800.0,2674.3702464117428,2672.485453577257,6404289.431332465,5188041.008105343,0.0
split_da0.445_upd0.475,split_da_upd,0.445,0.475,0.475,0.475,13521409.707452236,13186919.25679596,271544.7606689939,62945.68998728275,21500147.87287376,21032762.59514883,501515.09585990454,968900.3735848318,11602.854539463442,1888927.5314945108,6926.063571432714,1200.0,10800.0,2674.3702464117428,2672.485453577257,6404289.431332465,5188041.008105343,0.0
split_da0.445_upd0.449,split_da_upd,0.445,0.448919,0.448919,0.448919,13521409.707452236,13186919.25679596,271544.7606689939,62945.68998728275,21500147.87287376,21032762.59514883,501515.09585990454,968900.3735848318,11602.854539463442,1888927.5314945108,6926.063571432714,1200.0,10800.0,2674.3702464117428,2672.485453577257,6404289.431332465,5188041.008105343,0.0
refine_0.465000,refine,0.465,0.465,0.465,0.465,13521409.707452236,13186919.25679596,271544.7606689939,62945.68998728275,21500147.87287376,21032762.59514883,501515.09585990454,968900.3735848318,11602.854539463442,1888927.5314945108,6926.063571432714,1200.0,10800.0,2674.3702464117428,2672.485453577257,6404289.431332465,5188041.008105343,0.0
refine_0.463000,refine,0.463,0.463,0.463,0.463,13521409.707452236,13186919.25679596,271544.7606689939,62945.68998728275,21500147.87287376,21032762.59514883,501515.09585990454,968900.3735848318,11602.854539463442,1888927.5314945108,6926.063571432714,1200.0,10800.0,2674.3702464117428,2672.485453577257,6404289.431332465,5188041.008105343,0.0
scalar_0.460000,scalar,0.46,0.46,0.46,0.46,13521409.707452236,13186919.25679596,271544.7606689939,62945.68998728275,21500147.87287376,21032762.59514883,501515.09585990454,968900.3735848318,11602.854539463442,1888927.5314945108,6926.063571432714,1200.0,10800.0,2674.3702464117428,2672.485453577257,6404289.431332465,5188041.008105343,0.0
refine_0.461000,refine,0.461,0.461,0.461,0.461,13521409.707452236,13186919.25679596,271544.7606689939,62945.68998728275,21500147.87287376,21032762.59514883,501515.09585990454,968900.3735848318,11602.854539463442,1888927.5314945108,6926.063571432714,1200.0,10800.0,2674.3702464117428,2672.485453577257,6404289.431332465,5188041.008105343,0.0
refine_0.457000,refine,0.457,0.457,0.457,0.457,13521409.707452236,13186919.25679596,271544.7606689939,62945.68998728275,21500147.87287376,21032762.59514883,501515.09585990454,968900.3735848318,11602.854539463442,1888927.5314945108,6926.063571432714,1200.0,10800.0,2674.3702464117428,2672.485453577257,6404289.431332465,5188041.008105343,0.0
eve_early0.449_h18_0.449,split_h18,0.44891944444444437,0.44891944444444437,0.44891944444444437,0.448919,13521409.707452236,13186919.25679596,271544.7606689939,62945.68998728275,21500147.87287376,21032762.59514883,501515.09585990454,968900.3735848318,11602.854539463442,1888927.5314945108,6926.063571432714,1200.0,10800.0,2674.3702464117428,2672.485453577257,6404289.431332465,5188041.008105343,0.0
eve_early0.449_h18_0.445,split_h18,0.44891944444444437,0.44891944444444437,0.44891944444444437,0.445,13521409.707452236,13186919.25679596,271544.7606689939,62945.68998728275,21500147.87287376,21032762.59514883,501515.09585990454,968900.3735848318,11602.854539463442,1888927.5314945108,6926.063571432714,1200.0,10800.0,2674.3702464117428,2672.485453577257,6404289.431332465,5188041.008105343,0.0
refine_0.459000,refine,0.459,0.459,0.459,0.459,13521409.707452236,13186919.25679596,271544.7606689939,62945.68998728275,21500147.87287376,21032762.59514883,501515.09585990454,968900.3735848318,11602.854539463442,1888927.5314945108,6926.063571432714,1200.0,10800.0,2674.3702464117428,2672.485453577257,6404289.431332465,5188041.008105343,0.0
refine_0.445000,refine,0.445,0.445,0.445,0.445,13521409.707452236,13186919.25679596,271544.7606689939,62945.68998728275,21500147.87287376,21032762.59514883,501515.09585990454,968900.3735848318,11602.854539463442,1888927.5314945108,6926.063571432714,1200.0,10800.0,2674.3702464117428,2672.485453577257,6404289.431332465,5188041.008105343,0.0
refine_0.447000,refine,0.447,0.447,0.447,0.447,13521409.707452236,13186919.25679596,271544.7606689939,62945.68998728275,21500147.87287376,21032762.59514883,501515.09585990454,968900.3735848318,11602.854539463442,1888927.5314945108,6926.063571432714,1200.0,10800.0,2674.3702464117428,2672.485453577257,6404289.431332465,5188041.008105343,0.0
