n_scenarios,tree,stage_slots,lam,center,window,use_tv,floor,name,total_cost,plan_cost,adjustment_cost,emergency_cost,plan_kwh,final_kwh,upward_kwh,downward_kwh,emergency_kwh,spill_kwh,mean_soc,min_soc,max_soc,mean_soc_open,mean_soc_close,charge_kwh,discharge_kwh,delta_vs_v002,n_fail
12,False,24,0.9,raw,56,True,,twostage_n12_l0.9_raw,13164261.157320466,13044319.248934142,37188.44484622042,82753.46354010473,20938198.400525995,20450016.186315056,309151.1568087895,797333.3710197299,14823.241818299957,1319504.6763216928,6685.877916947684,1200.0,10800.0,2744.5998837232523,2743.0944626788355,6350514.665320785,5144369.408475788,-357148.55013176985,0.0
12,True,24,0.7,raw,56,True,,q2tree_n12_s24_l0.7_raw,13249782.589072637,13114406.097439554,41070.941258477455,94305.55037460542,21261997.0553211,20804453.329666257,262673.53864963725,720217.2643044826,16701.610899657648,1669265.0045655468,6912.335620519274,1200.0,10800.0,2820.2596073393324,2818.835026124294,6384887.737615499,5172187.296581795,-271627.1183795985,0.0
12,True,24,0.9,raw,30,True,,q2tree_n12_s24_l0.9_raw_win30,13337040.877489058,13305445.987013415,-23384.76679422294,54979.657269866664,21576979.08113731,20942914.25807022,246884.74375785093,880949.5668249431,9738.338178970425,1811639.9481551703,7015.847651047752,1200.0,10800.0,2822.1889993802574,2820.7215381612887,6327706.694577761,5125883.541450409,-184368.82996317744,0.0
12,True,24,0.9,raw,56,True,,q2tree_n12_s24_l0.9_raw,13374432.449836507,13360596.000194896,-37456.362063233755,51292.811704846376,21611823.508253418,20961828.38980792,243299.98198009224,893295.100425586,8896.621164770844,1832330.8095267068,7036.919987062834,1200.0,10800.0,2917.7616041885303,2915.9290700613856,6314502.980199686,5115298.273720366,-146977.2576157283,0.0
12,True,24,0.9,raw,56,False,3000.0,q2tree_n12_s24_l0.9_raw_floor3000,13377205.099769676,13312641.323939793,5809.903533880555,58753.87229600172,21598910.150003783,21000884.192749493,277041.1017057063,875067.0589599956,10240.13443957972,1864566.064712069,7161.168144590899,1200.0,10800.0,3736.7212217853485,3734.529788436286,6358039.538816147,5150670.771305807,-144204.60768255964,0.0
12,True,24,1.0,raw,56,True,,q2tree_n12_s24_l1.0_raw,13413163.445972681,13419705.129024528,-49141.16691909478,42599.48386724666,21682133.769904226,20991946.0458545,246668.0384364002,936855.7624861253,7377.063431333757,1865804.9706718575,7064.805134698575,1200.0,10800.0,2952.2015039458006,2950.2818984166606,6288977.247733529,5094648.604086218,-108246.2614795547,0.0
12,True,36,0.9,raw,56,True,,q2tree_n12_s36_l0.9_raw,13416502.298399622,13454534.798367575,-91993.96655611636,53961.46658816275,21809315.09592092,21024673.144238137,202532.99286146386,987174.9445442448,9206.24194584677,1892414.9904294806,7064.630374730338,1200.0,10800.0,3025.312780409149,3023.761793502924,6330216.460272894,5127941.559485056,-104907.40905261412,0.0
8,True,24,0.9,raw,56,True,,q2tree_n8_s24_l0.9_raw,13494225.72966063,13306474.738923553,87017.78083416422,100733.2099029138,21505799.47860479,20992627.944354273,334351.3644643783,847522.8987148907,19164.53632076429,1875625.743198182,7042.853543180365,1200.0,10800.0,2955.2505876498067,2953.152783630468,6303199.170517927,5106221.928007734,-27183.977791605517,0.0
0,True,24,0.9,raw,56,True,,v002_point_lp,13521409.707452236,13186919.25679596,271544.7606689939,62945.68998728275,21500147.87287376,21032762.59514883,501515.09585990454,968900.3735848318,11602.854539463442,1888927.5314945108,6926.063571432714,1200.0,10800.0,2674.3702464117428,2672.485453577257,6404289.431332465,5188041.008105343,0.0,
12,True,24,0.9,buffered,56,True,,q2tree_n12_s24_l0.9_buffered,14148446.145775339,14235270.60725759,-96959.50937379205,10135.047891542614,22752132.57046624,21770259.845828645,286392.5346766408,1268265.2593142309,1693.2285844720889,2695121.676571672,7511.019886191702,1200.0,10800.0,3659.327340434785,3657.5218329953977,5990445.465321388,4852803.562446604,627036.4383231029,0.0
