,2025-03-20,2025-06-21,2025-09-23,2025-12-21
10:00-10:10,0.0,0.0,0.0,0.0
12:00-12:10,598.1706777777777,0.0,402.33534999999995,981.4611666666664
14:00-14:10,0.0,0.0,0.0,0.0
16:00-16:10,673.8852999999997,114.22330000000014,513.2832499999998,852.2435836388918
18:00-18:10,695.8719444444445,361.77087638333387,755.8591166666669,701.8101666666666
20:00-20:10,0.0,0.0,15.527333333333218,0.0
daily planned purchase (kWh),69522.1301967419,34735.43192243496,68726.32623080665,94745.33375496024
daily planned cost (yuan),42841.04761985581,20589.847025207928,43904.21791201318,61191.58719442601
daily final purchase (kWh),65433.62930784852,34027.2745778113,65993.64434864452,94930.06889257413
daily adjustment cost (yuan),-524.5317707599311,-446.0233817463518,-751.1689139369101,457.708282043899
daily emergency purchase (kWh),414.0288059836537,0.0,42.33379334502015,0.0
daily total cost (yuan),44354.056416270614,20143.823643461576,43343.14070279696,61649.2954764699
