n_scenarios,tree,stage_slots,lam,center,window,use_tv,floor,name,total_cost,plan_cost,adjustment_cost,emergency_cost,plan_kwh,final_kwh,upward_kwh,downward_kwh,emergency_kwh,spill_kwh,mean_soc,min_soc,max_soc,mean_soc_open,mean_soc_close,charge_kwh,discharge_kwh,n_fail,delta_vs_v007,elapsed_s
12,False,24,0.65,raw,56,True,,twostage_n12_l0.65_raw,13125075.202234216,12820608.753069615,162489.9488871934,141976.50027740758,20650164.789012957,20380531.55406384,351075.57948744856,620708.8144365649,25839.993244460624,1256381.5216148281,6587.550628754855,1200.0,10800.0,2688.395174285041,2687.129737659858,6374636.426191257,5163835.895464448,0,-39185.95508624986,94.03782266698545
12,False,24,0.6,raw,56,True,,twostage_n12_l0.60_raw,13136093.358073598,12727777.870211476,233978.35835609306,174337.12950602904,20500655.520180307,20335950.56588094,397082.60183698044,561787.5561363451,32570.113534713324,1218855.8219153604,6528.085218582654,1200.0,10800.0,2662.6480712505177,2661.434851459982,6372842.402119289,5162367.03958566,0,-28167.79924686812,92.4931253749819
12,False,24,0.7,raw,56,True,,twostage_n12_l0.70_raw,13136378.902537901,12861958.56539433,144106.70334125354,130313.6338023177,20691354.829550236,20390489.21938847,349951.48160129774,650817.0917630595,23869.838779738977,1266212.72373136,6603.803344141153,1200.0,10800.0,2706.603106502898,2705.1861954335777,6365172.436513808,5156215.597043622,0,-27882.254782564938,92.62004337500548
12,False,24,0.55,raw,56,True,,twostage_n12_l0.55_raw,13139555.368379345,12660806.575121734,278737.0242434681,200011.7690141421,20424369.849320147,20322420.984395783,420724.5721993305,522673.4371236907,37181.48167615537,1208211.3882474042,6502.116834843079,1200.0,10800.0,2629.4840560901157,2628.553601977035,6381480.407180331,5169278.82432246,0,-24705.78894112073,90.92155479101348
12,False,24,0.8,raw,56,True,,twostage_n12_l0.80_raw,13147309.19195003,12950822.36899607,97714.85423437675,98771.96871958433,20795550.708877165,20411784.79298634,336977.7886515901,720743.7045424166,18203.539738047344,1282500.4761653706,6641.007640729898,1200.0,10800.0,2729.6066394507557,2728.1508630708677,6361768.252484972,5153469.890892622,0,-16951.965370435268,92.98373383301077
12,False,24,0.5,raw,56,True,,twostage_n12_l0.50_raw,13161359.913975429,12602944.49812476,307940.49739084404,250474.9184598264,20366184.782977775,20303207.753902577,430144.1282721709,493121.1573473679,45762.98529988929,1194882.9868931286,6466.5455086154425,1200.0,10800.0,2592.4394739501363,2591.5268676653923,6395645.193641385,5180746.936298716,0,-2901.2433450371027,90.80139637499815
12,False,24,0.9,raw,56,True,,twostage_n12_l0.90_raw,13164261.157320466,13044319.248934142,37188.44484622042,82753.46354010473,20938198.400525995,20450016.186315056,309151.1568087895,797333.3710197299,14823.241818299957,1319504.6763216928,6685.877916947684,1200.0,10800.0,2744.5998837232523,2743.0944626788355,6350514.665320785,5144369.408475788,0,0.0,94.19211345800431
12,False,24,1.0,raw,56,True,,twostage_n12_l1.00_raw,13175279.099925334,13082633.367517835,21617.46432448797,71028.26808301025,20972403.961943537,20457076.163789835,304809.833322564,820137.6314762642,12784.292773821908,1327356.4819954997,6697.18039303382,1200.0,10800.0,2759.794943219907,2758.232272038192,6335706.413466925,5132391.933865433,0,11017.942604867741,93.1917767910054
12,False,24,1.1,raw,56,True,,twostage_n12_l1.10_raw,13192289.073948838,13126342.722220596,2732.347275268199,63214.004452973786,21019101.618550096,20472449.061644003,299433.67906076025,846086.2359668554,11463.222494352653,1342702.8537609351,6715.163873673316,1200.0,10800.0,2771.0885226971586,2769.531181713473,6328884.590054993,5126864.65464424,0,28027.916628371924,93.28701916700811
12,False,24,1.2,raw,56,True,,twostage_n12_l1.20_raw,13212828.207782771,13182335.288406428,-28817.526168987722,59310.445545331226,21096917.214665107,20487926.02025847,285085.7978085213,894076.9922151539,10803.546784282085,1358146.9424950746,6723.543224588983,1200.0,10800.0,2778.5994503492957,2777.0421340903517,6325585.5728865955,5124192.443305582,0,48567.050462305546,94.87507829201058
