,00:00 plan only,selected updates (06:00 + 12:00 + 18:00)
2025-02,1303264.095721824,1274122.3446453193
2025-03,1250178.3585213057,1196420.186994584
2025-04,1092878.1082218355,1014112.0188470837
2025-05,1114924.794548773,1054879.9434364068
2025-06,1468745.1230979706,1426538.4526171046
2025-07,1706193.859599052,1614826.2362144198
2025-08,1416086.580572767,1368998.4753487771
2025-09,1293497.303582435,1225730.9018144463
2025-10,1267649.2244337562,1197930.4940160776
2025-11,1361507.7344460285,1330195.7402758931
2025-12,1784600.3677918892,1734887.8889341124
