,2025-03-20,2025-06-21,2025-09-23,2025-12-21
10:00-10:10,0.0,0.0,0.0,0.0
12:00-12:10,584.2094708333331,0.0,395.2250333333333,1036.0858729166666
14:00-14:10,0.0,0.0,0.0,0.0
16:00-16:10,629.1392083333332,162.42433125000008,489.92381958333374,840.0572501388896
18:00-18:10,744.0942083333334,483.46514180555596,803.580982638889,742.03599
20:00-20:10,0.0,0.0,0.0,0.0
daily planned purchase (kWh),70890.88738441785,37817.83966402777,69885.12302152434,99084.01188165293
daily planned cost (yuan),43209.32407520793,21917.871431740095,43220.468405094056,63535.042293621256
daily final purchase (kWh),67599.58306109825,39124.55568052371,69057.36546117486,97451.8526260689
daily adjustment cost (yuan),405.5480292323632,1291.6408101417492,1094.767343132549,-220.54301706900316
daily emergency purchase (kWh),1287.4067968499287,101.85513639771408,803.6353492952826,780.0006804068546
daily total cost (yuan),48171.71837116879,23677.389775886295,47273.36093330128,65864.7954585659
